timestamp_s,frame_idx,track_id,x1,y1,x2,y2,conf
16.783,503,188,341,520,715,795,0.8309269547462463
16.783,503,162,1072,496,1252,647,0.8127576112747192
16.783,503,171,1403,516,1565,659,0.5833184719085693
16.783,503,126,1838,442,1919,586,0.5637588500976562
16.783,503,193,1650,506,1761,634,0.3963998556137085
16.783,503,187,1644,490,1821,634,0.36145856976509094
16.817,504,162,1089,499,1268,646,0.7933858036994934
16.817,504,188,386,538,745,782,0.77065110206604
16.817,504,126,1844,450,1919,586,0.6300482749938965
16.817,504,187,1643,480,1834,632,0.4874252378940582
16.817,504,171,1416,529,1554,658,0.4263474941253662
16.817,504,158,1411,469,1637,653,0.3832336962223053
16.850,505,162,1103,504,1275,643,0.8756358623504639
16.850,505,188,429,536,773,775,0.8340269327163696
16.850,505,126,1851,443,1919,586,0.5640758872032166
16.850,505,158,1420,472,1636,654,0.44577205181121826
16.850,505,171,1423,522,1564,656,0.43368691205978394
16.850,505,187,1660,487,1829,629,0.3875959813594818
16.884,506,162,1115,506,1289,641,0.8694318532943726
16.884,506,188,466,533,805,772,0.8049708604812622
16.884,506,158,1432,483,1646,650,0.5540422797203064
16.884,506,126,1852,445,1919,585,0.5123856067657471
16.884,506,187,1666,478,1844,626,0.46992918848991394
16.884,506,171,1436,527,1565,653,0.4127930998802185
16.917,507,188,506,540,833,761,0.8688878417015076
16.917,507,162,1133,504,1302,640,0.830780565738678
16.917,507,158,1443,482,1657,654,0.6019870042800903
16.917,507,171,1443,525,1573,656,0.4654238522052765
16.917,507,196,509,436,571,499,0.43538618087768555
16.917,507,126,1867,443,1919,586,0.39537447690963745
16.950,508,188,539,536,860,758,0.8563070893287659
16.950,508,162,1146,508,1315,640,0.8213841319084167
16.950,508,158,1449,473,1659,650,0.6735815405845642
16.950,508,193,1680,483,1791,625,0.4446161687374115
16.950,508,196,503,438,557,499,0.42103496193885803
16.984,509,188,576,507,883,753,0.8393282294273376
16.984,509,162,1161,509,1325,638,0.7852384448051453
16.984,509,158,1452,469,1662,641,0.6343754529953003
16.984,509,171,1458,509,1596,649,0.4376900792121887
17.017,510,162,1179,508,1337,639,0.8744914531707764
17.017,510,188,611,520,908,748,0.8179337382316589
17.017,510,158,1461,479,1667,642,0.6797770857810974
17.017,510,171,1466,509,1620,647,0.4542202055454254
17.017,510,187,1693,462,1919,623,0.36927375197410583
17.050,511,188,642,514,933,744,0.8035925030708313
17.050,511,162,1195,505,1348,635,0.7973419427871704
17.050,511,158,1472,478,1675,640,0.7265046834945679
17.084,512,188,671,507,956,738,0.8028743863105774
17.084,512,162,1207,510,1363,636,0.7781425714492798
17.084,512,158,1479,498,1680,639,0.6979777812957764
17.084,512,187,1706,485,1907,610,0.4554377794265747
17.084,512,171,1482,511,1638,645,0.43245914578437805
17.084,512,196,481,439,524,501,0.41441693902015686
